% ID         RA        Dec     Ebv   Gal Long  Gal Lat   Ecl Long  Ecl Lat   Entry 
000075  185.57721   -0.00000   0.02  287.2765   61.9831  185.1195    2.2155     75 
000076  188.08501   -0.00000   0.02  292.5520   62.4862  187.4256    3.2070     76 
000077  190.59281   -0.00000   0.02  297.9708   62.7844  189.7362    4.1934     77 
000078  193.10061   -0.00000   0.02  303.4607   62.8708  192.0525    5.1729     78 
000079  195.60841   -0.00000   0.02  308.9430   62.7433  194.3760    6.1439     79 
000080  198.11621   -0.00000   0.03  314.3395   62.4051  196.7080    7.1049     80 
000081  200.62401   -0.00000   0.02  319.5801   61.8637  199.0497    8.0542     81 
000082  203.13181   -0.00000   0.02  324.6074   61.1306  201.4023    8.9902     82 
000083  205.63961   -0.00000   0.02  329.3800   60.2201  203.7670    9.9112     83 
000084  208.14741   -0.00000   0.03  333.8728   59.1479  206.1448   10.8156     84 
000085  210.65521   -0.00000   0.04  338.0750   57.9304  208.5370   11.7016     85 
000086  213.16301   -0.00000   0.04  341.9875   56.5837  210.9443   12.5677     86 
000087  215.67081   -0.00000   0.03  345.6200   55.1227  213.3677   13.4122     87 
000088  218.17861   -0.00000   0.04  348.9877   53.5616  215.8079   14.2334     88 
000089  220.68641   -0.00000   0.03  352.1093   51.9127  218.2657   15.0296     89 
000090  223.19421   -0.00000   0.04  355.0048   50.1871  220.7416   15.7993     90 
000091  225.70201   -0.00000   0.05  357.6947   48.3947  223.2360   16.5407     91 
000092  228.20981   -0.00000   0.04    0.1986   46.5438  225.7492   17.2522     92 
000093  230.71761   -0.00000   0.05    2.5352   44.6420  228.2815   17.9323     93 
000094  233.22541   -0.00000   0.07    4.7217   42.6956  230.8329   18.5794     94 
000095  235.73321   -0.00000   0.08    6.7740   40.7101  233.4031   19.1919     95 
000096  238.24101   -0.00000   0.08    8.7065   38.6904  235.9920   19.7683     96 
000097  240.74881   -0.00000   0.12   10.5321   36.6407  238.5991   20.3073     97 
000098  243.25661   -0.00000   0.11   12.2624   34.5645  241.2237   20.8074     98 
000099  245.76441   -0.00000   0.07   13.9079   32.4652  243.8650   21.2673     99 
000100  248.27221   -0.00000   0.08   15.4781   30.3454  246.5222   21.6858    100 
000101  250.78001   -0.00000   0.11   16.9814   28.2076  249.1940   22.0617    101 
000102  253.28781   -0.00000    0.2   18.4255   26.0541  251.8793   22.3941    102 
000103  255.79561   -0.00000   0.22   19.8173   23.8867  254.5766   22.6820    103 
000104  258.30341   -0.00000   0.23   21.1631   21.7073  257.2843   22.9245    104 
000105  260.81121   -0.00000    0.3   22.4686   19.5172  260.0008   23.1209    105 
000106  263.31901   -0.00000   0.23   23.7392   17.3181  262.7243   23.2707    106 
000107  265.82681   -0.00000   0.32   24.9796   15.1112  265.4530   23.3734    107 
000108  268.33461   -0.00000   0.36   26.1944   12.8976  268.1849   23.4288    108 
000109  270.84241   -0.00000   0.29   27.3879   10.6785  270.9182   23.4366    109 
000110  273.35021   -0.00000   0.58   28.5641    8.4550  273.6508   23.3968    110 
000111  275.85801   -0.00000    1.2   29.7267    6.2280  276.3807   23.3096    111 
000112  278.36581   -0.00000   1.86   30.8796    3.9985  279.1061   23.1752    112 
000113  280.87361   -0.00000   2.36   32.0261    1.7673  281.8251   22.9940    113 
000114  283.38141   -0.00000   4.82   33.1699   -0.4645  284.5359   22.7666    114 
000115  285.88921   -0.00000   0.95   34.3145   -2.6962  287.2368   22.4935    115 
000116  288.39701   -0.00000    0.5   35.4632   -4.9267  289.9262   22.1757    116 
000117  290.90481   -0.00000   0.34   36.6197   -7.1553  292.6026   21.8139    117 
000118  293.41261   -0.00000   0.32   37.7875   -9.3810  295.2647   21.4092    118 
000119  295.92041   -0.00000   0.24   38.9704  -11.6028  297.9113   20.9628    119 
000120  298.42821   -0.00000   0.19   40.1723  -13.8197  300.5415   20.4757    120 
000121  300.93601   -0.00000   0.19   41.3972  -16.0307  303.1544   19.9494    121 
000122  303.44381   -0.00000   0.11   42.6496  -18.2345  305.7493   19.3851    122 
000123  305.95161   -0.00000   0.15   43.9341  -20.4300  308.3257   18.7843    123 
000124  308.45941   -0.00000    0.1   45.2557  -22.6158  310.8833   18.1484    124 
000125  310.96721   -0.00000   0.06   46.6199  -24.7905  313.4218   17.4789    125 
000126  313.47501   -0.00000   0.08   48.0327  -26.9523  315.9413   16.7775    126 
000127  315.98281   -0.00000   0.07   49.5006  -29.0995  318.4419   16.0458    127 
000128  318.49061   -0.00000   0.07   51.0307  -31.2301  320.9238   15.2852    128 
000129  320.99841   -0.00000   0.05   52.6312  -33.3417  323.3875   14.4975    129 
000130  323.50621   -0.00000   0.04   54.3108  -35.4317  325.8334   13.6843    130 
000131  326.01401   -0.00000   0.05   56.0795  -37.4973  328.2623   12.8473    131 
000132  328.52181   -0.00000   0.08   57.9480  -39.5350  330.6748   11.9881    132 
000133  331.02961   -0.00000   0.05   59.9287  -41.5410  333.0718   11.1084    133 
000134  333.53741   -0.00000   0.06   62.0351  -43.5108  335.4542   10.2099    134 
000135  336.04521   -0.00000   0.06   64.2821  -45.4394  337.8231    9.2942    135 
000136  338.55301   -0.00000   0.05   66.6862  -47.3208  340.1795    8.3629    136 
000137  341.06081   -0.00000   0.06   69.2651  -49.1483  342.5247    7.4178    137 
000138  343.56861   -0.00000   0.08   72.0381  -50.9140  344.8597    6.4605    138 
000139  346.07641   -0.00000   0.04   75.0253  -52.6089  347.1858    5.4925    139 
000140  348.58421   -0.00000   0.04   78.2469  -54.2228  349.5044    4.5156    140 
000141  351.09201   -0.00000   0.04   81.7227  -55.7438  351.8167    3.5314    141 
000142  353.59981   -0.00000   0.03   85.4702  -57.1590  354.1241    2.5414    142 
000143  356.10761   -0.00000   0.03   89.5026  -58.4538  356.4279    1.5473    143 
000144    0.00000   -2.37870   0.03   94.2948  -62.3555  359.0534   -2.1823    144 
000145    2.50996   -2.37870   0.03   99.3517  -63.3392    1.3564   -3.1807    145 
000146    5.01993   -2.37870   0.03  104.7274  -64.1365    3.6621   -4.1780    146 
000147    7.52989   -2.37870   0.03  110.3758  -64.7295    5.9719   -5.1728    147 
000148   10.03985   -2.37870   0.03  116.2273  -65.1035    8.2871   -6.1635    148 
000149   12.54981   -2.37870   0.04  122.1929  -65.2487   10.6091   -7.1483    149 
000150   15.05978   -2.37870   0.03  128.1713  -65.1609   12.9394   -8.1256    150 
000151   17.56974   -2.37870   0.04  134.0599  -64.8426   15.2791   -9.0938    151 
000152   20.07970   -2.37870   0.04  139.7657  -64.3024   17.6297  -10.0513    152 
000153   22.58967   -2.37870   0.03  145.2140  -63.5540   19.9924  -10.9963    153 
000154   25.09963   -2.37870   0.02  150.3525  -62.6146   22.3684  -11.9272    154 
000155   27.60959   -2.37870   0.03  155.1522  -61.5031   24.7590  -12.8423    155 
000156   30.11955   -2.37870   0.02  159.6034  -60.2389   27.1651  -13.7399    156 
000157   32.62952   -2.37870   0.03  163.7120  -58.8409   29.5879  -14.6183    157 
000158   35.13948   -2.37870   0.02  167.4942  -57.3263   32.0283  -15.4757    158 
000159   37.64944   -2.37870   0.03  170.9726  -55.7109   34.4871  -16.3106    159 
000160   40.15941   -2.37870   0.03  174.1727  -54.0084   36.9651  -17.1210    160 
000161   42.66937   -2.37870   0.05  177.1213  -52.2308   39.4628  -17.9055    161 
000162   45.17933   -2.37870   0.07  179.8439  -50.3885   41.9809  -18.6621    162 
000163   47.68929   -2.37870   0.06  182.3651  -48.4904   44.5197  -19.3893    163 
000164   50.19926   -2.37870   0.06  184.7072  -46.5440   47.0794  -20.0853    164 
000165   52.70922   -2.37870   0.05  186.8905  -44.5559   49.6601  -20.7485    165 
000166   55.21918   -2.37870   0.07  188.9332  -42.5316   52.2617  -21.3773    166 
000167   57.72915   -2.37870   0.12  190.8515  -40.4759   54.8838  -21.9701    167 
000168   60.23911   -2.37870   0.15  192.6599  -38.3929   57.5261  -22.5255    168 
000169   62.74907   -2.37870   0.12  194.3711  -36.2861   60.1879  -23.0418    169 
000170   65.25903   -2.37870   0.05  195.9965  -34.1585   62.8684  -23.5177    170 
000171   67.76900   -2.37870   0.04  197.5463  -32.0130   65.5666  -23.9520    171 
000172   70.27896   -2.37870   0.04  199.0294  -29.8517   68.2813  -24.3433    172 
000173   72.78892   -2.37870   0.05  200.4539  -27.6768   71.0111  -24.6905    173 
000174   75.29889   -2.37870   0.06  201.8270  -25.4901   73.7545  -24.9927    174 
000175   77.80885   -2.37870   0.09  203.1553  -23.2933   76.5098  -25.2489    175 
000176   80.31881   -2.37870    0.3  204.4445  -21.0878   79.2753  -25.4583    176 
000177   82.82877   -2.37870   0.47  205.7003  -18.8750   82.0489  -25.6203    177 
000178   85.33874   -2.37870   2.31  206.9274  -16.6561   84.8287  -25.7343    178 
000179   87.84870   -2.37870   0.63  208.1306  -14.4322   87.6124  -25.8002    179 
000180   90.35866   -2.37870   0.49  209.3140  -12.2044   90.3981  -25.8175    180 
000181   92.86863   -2.37870   0.37  210.4819   -9.9738   93.1834  -25.7863    181 
000182   95.37859   -2.37870   0.32  211.6379   -7.7411   95.9663  -25.7067    182 
000183   97.88855   -2.37870   0.65  212.7858   -5.5075   98.7445  -25.5788    183 
000184  100.39851   -2.37870   1.06  213.9292   -3.2738  101.5160  -25.4032    184 
000185  102.90848   -2.37870   0.91  215.0715   -1.0408  104.2787  -25.1804    185 
000186  105.41844   -2.37870   0.68  216.2163    1.1905  107.0309  -24.9110    186 
000187  107.92840   -2.37870   0.18  217.3670    3.4192  109.7705  -24.5959    187 
000188  110.43837   -2.37870    0.1  218.5271    5.6445  112.4962  -24.2359    188 
000189  112.94833   -2.37870   0.07  219.7003    7.8653  115.2063  -23.8322    189 
000190  115.45829   -2.37870   0.08  220.8901   10.0807  117.8995  -23.3859    190 
000191  117.96825   -2.37870   0.04  222.1005   12.2896  120.5748  -22.8983    191 
000192  120.47822   -2.37870   0.03  223.3356   14.4909  123.2311  -22.3707    192 
000193  122.98818   -2.37870   0.04  224.5995   16.6834  125.8677  -21.8045    193 
000194  125.49814   -2.37870   0.04  225.8970   18.8658  128.4840  -21.2012    194 
000195  128.00811   -2.37870   0.03  227.2327   21.0367  131.0796  -20.5624    195 
000196  130.51807   -2.37870   0.02  228.6122   23.1945  133.6543  -19.8896    196 
000197  133.02803   -2.37870   0.02  230.0411   25.3375  136.2080  -19.1845    197 
000198  135.53799   -2.37870   0.02  231.5258   27.4637  138.7408  -18.4488    198 
000199  138.04796   -2.37870   0.03  233.0730   29.5712  141.2531  -17.6840    199 
000200  140.55792   -2.37870   0.03  234.6903   31.6574  143.7451  -16.8920    200 
000201  143.06788   -2.37870   0.03  236.3860   33.7196  146.2176  -16.0744    201 
